clave.departamento,escuela,departamento
DDER,Ciencias Sociales y Gobierno,Derecho
DMKT,Negocios,Mercadotecnia y Análisis
DCOM,Ingeniería y Ciencias,Computación
DLFE,LiFE,Formación Estudiantil
DCPR,Ciencias Sociales y Gobierno,Ciencia Política y Relaciones Internacionales
DEHM,Humanidades y Educación,Estudios Humanísticos
DPMA,Preparatoria,Matemáticas
DMCT,Ingeniería y Ciencias,Mecatrónica
DPCI,Preparatoria,Ciencias Preparatoria
DPCH,Preparatoria,Ciencias Sociales y Humanidades
DPEL,Preparatoria,Español y Literatura
DPLE,Preparatoria,Lenguas Extranjeras
DPDT,Preparatoria,Desarrollo y Tutoría
DNIL,Negocios,Negocios Internacionales y Logística
DEMP,Negocios,Emprendimiento
DIIN,Ingeniería y Ciencias,Ingeniería Industrial
DINC,Humanidades y Educación,Medios y Cultura Digital
DCIE,Ingeniería y Ciencias,Ciencias
DGLD,Negocios,Gestión y Liderazgo
DBIO,Ingeniería y Ciencias,Bioingeniería
DCOF,Negocios,Contabilidad y Finanzas
DART,"Arquitectura, Arte y Diseño",Arte
DDIS,"Arquitectura, Arte y Diseño",Diseño
DPTD,Preparatoria,"Tecnología, Arte y Diseño"
DMMA,Ingeniería y Ciencias,Mecánica y Materiales Avanzados
DARQ,"Arquitectura, Arte y Diseño",Arquitectura
DEDU,Humanidades y Educación,Educación
DLEN,Humanidades y Educación,Lenguas
DELG,Negocios,Estrategia y Liderazgo (EGADE)
DCBS,Medicina y Ciencias de la Salud,Ciencias Básicas
DECN,Ciencias Sociales y Gobierno,Economía
DTSC,Ingeniería y Ciencias,Tecnologías Sostenibles y Civil
DBCS,Medicina y Ciencias de la Salud,Biociencias
DPCS,Medicina y Ciencias de la Salud,Psicología Clínica y de la Salud
DFEG,Negocios,Finanzas y Economía para los Negocios (EGADE)
DCMD,Medicina y Ciencias de la Salud,Ciencias Médicas
DEMD,Medicina y Ciencias de la Salud,Especialidades Médicas y Doctorado
DGTP,Ciencias Sociales y Gobierno,Gobierno y Transformación Pública
DMIG,Negocios,Mercadotecnia e Inteligencia de Negocios (EGADE)
DETG,Negocios,Emprendimiento e Innovación Tecnológica (EGADE)
DASS,Medicina y Ciencias de la Salud,Administración de Sistemas de Salud
DNBI,Medicina y Ciencias de la Salud,Nutrición y Bienestar Integral
DODN,Medicina y Ciencias de la Salud,Odontología
DPPI,Preparatoria,Programas Internacionales
DCCL,Medicina y Ciencias de la Salud,Ciencias Clínicas
0000,Por asignar,Por asignar
